"numero","anejo","carpeta","docx","existe_docx","tamano_kb","contiene_nombre_proyecto"
"1","Reportaje Fotografico","DOCS - ANEJOS\1.- Reportaje Fotografico","DOCS - ANEJOS\1.- Reportaje Fotografico\Anexo 1 - Reportaje Fotografico.docx","True","90.3","True"
"2","Cartografia y Topografia","DOCS - ANEJOS\2.- Cartografia y Topografia","DOCS - ANEJOS\2.- Cartografia y Topografia\Anexo 2 - Cartografia y Topografia.docx","True","90.6","True"
"3","Estudio Geotecnico","DOCS - ANEJOS\3.- Estudio Geotecnico","DOCS - ANEJOS\3.- Estudio Geotecnico\Anexo 3 - Estudio Geotecnico.docx","True","90.7","True"
"4","Trazado, Replanteo y Mediciones Auxiliares","DOCS - ANEJOS\4.- Trazado, Replanteo y Mediciones Auxiliares","DOCS - ANEJOS\4.- Trazado, Replanteo y Mediciones Auxiliares\Anexo 4 - Trazado, Replanteo y Mediciones Auxiliares.docx","True","90.5","True"
"5","Dimensionamiento del Firme","DOCS - ANEJOS\5.- Dimensionamiento del Firme","DOCS - ANEJOS\5.- Dimensionamiento del Firme\Anexo 5 - Dimensionamiento del Firme.docx","True","90.7","True"
"6","Red de Agua Potable","DOCS - ANEJOS\6.- Red de Agua Potable","DOCS - ANEJOS\6.- Red de Agua Potable\Anexo 6 - Red de Agua Potable.docx","True","90.7","True"
"7","Red de Saneamiento - Pluviales","DOCS - ANEJOS\7.- Red de Saneamiento - Pluviales","DOCS - ANEJOS\7.- Red de Saneamiento - Pluviales\Anexo 7 - Red de Saneamiento - Pluviales.docx","True","90.5","True"
"8","Red de Saneamiento - Fecales","DOCS - ANEJOS\8.- Red de Saneamiento - Fecales","DOCS - ANEJOS\8.- Red de Saneamiento - Fecales\Anexo 8 - Red de Saneamiento - Fecales.docx","True","90.5","True"
"9","Red de Media Tension","DOCS - ANEJOS\9.- Red de Media Tension","DOCS - ANEJOS\9.- Red de Media Tension\Anexo 9 - Red de Media Tension.docx","True","90.6","True"
"10","Red de Baja Tension","DOCS - ANEJOS\10.- Red de Baja Tension","DOCS - ANEJOS\10.- Red de Baja Tension\Anexo 10 - Red de Baja Tension.docx","True","90.6","True"
"11","Red de Alumbrado","DOCS - ANEJOS\11.- Red de Alumbrado","DOCS - ANEJOS\11.- Red de Alumbrado\Anexo 11 - Red de Alumbrado.docx","True","90.6","True"
"12","Accesibilidad","DOCS - ANEJOS\12.- Accesibilidad","DOCS - ANEJOS\12.- Accesibilidad\Anexo 12 - Accesibilidad.docx","True","90.6","True"
"13","Estudio de Gestion de Residuos","DOCS - ANEJOS\13.- Estudio de Gestion de Residuos","DOCS - ANEJOS\13.- Estudio de Gestion de Residuos\Anexo 13 - Estudio de Gestion de Residuos.docx","True","90.7","True"
"14","Control de Calidad","DOCS - ANEJOS\14.- Control de Calidad","DOCS - ANEJOS\14.- Control de Calidad\Anexo 14 - Control de Calidad.docx","True","90.7","True"
"15","Plan de Obra","DOCS - ANEJOS\15.- Plan de Obra","DOCS - ANEJOS\15.- Plan de Obra\Anexo 15 - Plan de Obra.docx","True","90.6","True"
"16","Comunicaciones con Companias Suministradoras","DOCS - ANEJOS\16.- Comunicaciones con Companias Suministradoras","DOCS - ANEJOS\16.- Comunicaciones con Companias Suministradoras\Anexo 16 - Comunicaciones con Companias Suministradoras.docx","True","90.7","True"
"17","Seguridad y Salud","DOCS - ANEJOS\17.- Seguridad y Salud","DOCS - ANEJOS\17.- Seguridad y Salud\Anexo 17 - Estudio de Seguridad y Salud.docx","True","90.6","True"
"18","Telecomunicaciones","DOCS - ANEJOS\18.- Telecomunicaciones","DOCS - ANEJOS\18.- Telecomunicaciones\Anexo 18 - Telecomunicaciones.docx","True","90.7","True"
